Question, Answer,Domain
 जगातील सर्वात मोठा बेट देश कोणता आहे?," इंडोनेशिया हा जगातील सर्वात मोठा बेट देश आहे कारण त्याचे क्षेत्रफळ 1,904,569 चौरस किमी आहे आणि त्यात 18,307 पेक्षा जास्त बेटे आहेत. हा जगातील सर्वाधिक लोकसंख्या असलेला बेट देश देखील आहे.",Geography
 मोठ्या नदीच्या उपनद्या असलेल्या खोऱ्यांना काय म्हणतात?, साइड व्हॅली ही एका मोठ्या नदीला उपनदी असलेली दरी आहे. त्या पर्वतांजवळच्या उच्च क्रमाच्या खोऱ्या आहेत.,Geography
" ""माबला पर्वत"" कोणत्या देशात आहेत?","माबला पर्वत, मॉन्टी माबला या नावानेही ओळखले जाते, ही जिबूतीच्या ओबॉक आणि ताडजौरा प्रदेशात स्थित एक पर्वतश्रेणी आहे. जिबूतीमधील पाचव्या-उंच बिंदू असलेल्या या पर्वतांमध्ये स्थानिक जिबूती स्परफॉल आणि डे फॉरेस्ट नॅशनल पार्क आहे. हा उंच प्रदेश ताडजौराच्या आखाताच्या उत्तरेला, किनारी मैदानाच्या मागे आहे जेथे लाल समुद्र एडनच्या आखाताला भेटतो.",Geography
 सर्वात जुने वृक्षारोपण कोठे झाले?, आफ्रिकेतील गिनी किनाऱ्यावरील बेटांवरील 15 व्या शतकातील आस्थापनांची सर्वात जुनी लागवड आहे. पोर्तुगीजांनी ऊस उत्पादनासाठी ही यंत्रणा येथून उत्तर ब्राझीलमध्ये नेली.,Geography
शनिवार वाड्याच्या बांधकामाचा खर्च किती होता?,"शनिवार वाड्याच्या बांधकामाचा खर्च १६,११० रुपये होता, जो त्या काळाच्या दृष्टीने खूप मोठी रक्कम होती.",History
छत्रपती शाहू महाराजांची राजवट कधी सुरू झाली आणि कधी संपली?,छत्रपती शाहू महाराजांची राजवट 1708 ते 1749 या कालावधीत होती.,History
बहमनी सल्तनत कोणी स्थापन केली?,मूळच्या बदखशान येथील ताजिक वंशात जन्मलेल्या अल्ला‍उद्दीन हसन बहामनी उर्फ हसनगंगू याने इ. स. १३४७ साली ही सल्तनत स्थापली.,History
गड आला पण सिन्हा गेला कोण कोनाला म्हंटले?,"शिवाजी महाराजांना जेव्हा कळले की तानाजी मालुसरे या युद्धात कामी आला तेव्हा महाराजांना याचे अतिव दुःख झाले. व शिवरायांच्या तोंडातून वाक्य बाहेर पडले साचा:''गड आला पण सिंह गेला'',आणि सिंहगड हे नाव आधीपासून नव्हते.",History
हेमाडपंती मंदिरांच्या बाह्य भिंतींचे वैशिष्ट्य काय असते?,"हेमाडपंती मंदिराच्या बाह्य भिंती बऱ्याचदा
तारकाकृती असतात. तारकाकृती मंदिराच्या
बांधणीत मंदिराची बाह्य भिंत अनेक कोनांमध्ये
विभागली जाते. त्यामुळे त्या भिंती आणि
त्यावरील शिल्पे यांच्यावर छायाप्रकाशाचा सुंदर
परिणाम पाहण्यास मिळतो. हेमाडपंती मंदिरांचे
महत्त्वाचे वैशिष्ट्य म्हणजे भिंतीचे दगड
सांधण्यासाठी चुना वापरलेला नसतो.
दगडांमध्येच एकमेकांत घट्ट बसतील अशा
कातलेल्या खोबणी आणि कुसू यांच्या आधाराने
भिंत उभारली जाते",History
किताब-ए-नवरस' हा ग्रंथ कोणी लिहिला?,"विजापूरचा सुलतान इब्राहिम आदिलशाह
दुसरा याने दक्‍खिनी उर्दू भाषेत ‘किताब-एनवरस’ हा ग्रंथ लिहिला",History
‘दर्पण’ या पहिल्या मराठी पत्राचे संपादक कोण होते?,‘दर्पण’ या पहिल्या मराठी पत्राचे संपादक या नात्याने बाळशास्त्री जांभेकरांना आद्यसंपादक म्हटले जाते.,History
"भारत सरकारने 1950 मध्ये कोणत्या मंडळाची स्थापना केली होती 
ज्यामध्ये पंतप्रधान पं. जवाहरलाल नेहरू चेअरमन होते?","१९५० मध्ये भारत सरकारने नियोजन मंडळाची
स्थापना केली. प्रधानमंत्री पं.जवाहरलाल नेहरू हे या
मंडळाचे अध्यक्ष होते.",History
राजकारणावरील 'सभानीती' हे पुस्तक कोणत्या शासकाने प्रकाशित केले?,"सभानीती' हे पुस्तक छत्रपती प्रतापसिंग महाराजांनी प्रकाशित केले आहे. हे पुस्तक राजकारण, प्रशासन, आणि सत्तेशी संबंधित विचारांच्या संदर्भात महत्त्वाचे मानले जाते.




",History
1905 मध्ये 'भारत सेवक समाज' कोणी स्थापन केला?,नामदार गोपाळ कृष्ण गोखले यांनी १९०५ मध्ये ‘भारत सेवक समाजा’ची स्थापना केली.,History
सावरकरांच्या आत्मचरित्राचे नाव काय होते?, ‘माझी जन्मठेप’ या आत्मचरित्रात सावरकरांनी अंदमानातील त्या भयकंर दिवसांचे अनुभव लिहून ठेवले आहेत. ,History
अमळनेर गिरणी कामगार युनियनचे अध्यक्ष कोण होते?,साने गुरुजी अमळनेर येथील गिरणी कामगार संघटनेचे अध्यक्ष होते.,History
राजकोट येथे रेडक्रॉस सोसायटीची स्थापना कोण केली?,रखमाबाई जनार्दन सावे यांनी राजकोट येथे रेडक्रॉस सोसायटीची स्थापना केली.,History
आयटकच्या पहिल्या अधिवेशनाचे अध्यक्ष कोण होते?,भारतातील सर्व कामगारांना राष्ट्रीय स्तरावर एकत्र करण्यासाठी AITUC ची स्थापना करण्यात आली. लाला लजपत राय हे पहिल्या सत्राचे अध्यक्ष होते.,History
हंगामी सरकारचे प्रमुख कोण होते?,मुक्त भारताच्या हंगामी सरकारमध्ये राज्याचे प्रमुख म्हणून सुभाषचंद्र बोस यांच्या नेतृत्वाखालील मंत्रिमंडळाचा समावेश होता.,History
भारत व पाकिस्तान या दोन स्वतंत्र राष्ट्रांची निर्मिती करण्याची योजना कोणी तयार केली?,लॉर्ड माउंटबॅटन यांनी भारत आणि पाकिस्तान या दोन स्वतंत्र राष्ट्रांच्या निर्मितीची योजना तयार केली.,History
१ मे १९६० रोजी कोणत्या राज्याची निर्मिती झाली?,१ मे १९६० रोजी महाराष्ट्राची निर्मिती झाली.,History
पुण्यातील कोणत्या गांधी स्मारक संग्रहालयात गांधीजींच्या इतिहासाविषयी माहिती मिळते?,"गांधी मेमोरियल सोसायटीचे आगाखान पॅलेस हे इटालियन आर्चेस व लॉन आहे. ब्रिटीशांनी या जागेचा उपयोग महात्मा गांधी, कस्तुरबा गांधी व महादेवभाई देसाई यांचेसाठी भारत झोडो आंदोलनात तुरुंग म्हणुन केला होता.",History
"
इ.स. १४५३ मध्ये ऑटोमन तुर्कांनी कोणते शहर जिंकून घेतले?","
कॉन्स्टँटिनोपल (आधुनिक इस्तंबूल) शहर 1453 मध्ये ऑट्टोमन तुर्कांनी जिंकले होते.",History
इंग्रजांच्या बेकायदेशीर व्यापाराला आळा घालण्याचा प्रयत्न कोणाने केला?,मीर जफर इंग्रजांच्या पाठिंब्याने बंगालचा नवाब बनला पण नंतर त्याने इंग्रजांचा विरोध सुरू केला आणि म्हणून त्याचा जावई मीर कासिम याला नवाब बनवण्यात आले. मीर कासिमने इंग्रजांच्या अवैध व्यापारावर निर्बंध घालण्याचा प्रयत्न केला आणि म्हणून मीर जफरला पुन्हा बंगालचा नवाब बनवण्यात आले.,History
१८०२ मध्ये कोणत्या पेशव्याने इंग्रजांशी तैनाती फौजेचा करार केला?,बाजीराव II ने 31 डिसेंबर 1802 रोजी बासीनच्या तहावर स्वाक्षरी केली.,History
जमशेदजी टाटा यांनी कोणत्या स्थानी टाटा आयर्न अँड स्टील कंपनीचा पोलाद निर्मितीचा कारखाना स्थापन केला?,टाटा आयर्न अँड स्टील कंपनी (TISCO) ची स्थापना जमशेदजी टाटा यांनी केली आणि दोराबजी टाटा यांनी जमशेदपूर येथे स्थापना केली.,History
"
गीतारहस्य हा ग्रंथ कोणत्या लेखकांनी लिहिला?","लोकमान्य बालगंगाधर टिळकांनी मंडाले येथील तुरुंगात श्रीमद् भगवद्गीता रहस्य लिहिले - भगवद्गीतेतील कर्मयोगाचे विश्लेषण, जे वेद आणि उपनिषदांची देणगी म्हणून ओळखले जाते.",History
जालियनवाला बाग हत्याकांडाचा निषेध म्हणून रवींद्रनाथ टागोरांनी सरकारने दिलेल्या कोणत्या किताबाचा त्याग केला?,रवींद्रनाथ टागोर यांना 1915 मध्ये किंग जॉर्ज पंचम यांनी साहित्याच्या सेवांसाठी नाइटहूड प्रदान केला होता. टागोर यांनी 1919 च्या जालियनवाला बाग हत्याकांडानंतर नाइटहूड ही पदवी त्यागली.,History
"कोणत्या भोसले अध्यक्षाने इंग्रजांशी ""नागपूरचा तह"" केला?",भोसले अध्यक्ष अप्पा साहेब आणि ब्रिटिश गव्हर्नर-जनरल लॉर्ड हेस्टिंग्ज यांच्यात १८१६ मध्ये नागपूरचा तह झाला.,History
कोणत्या वर्षी अहमदनगरचा किल्ला जनरल वेलस्लीने ताब्यात घेतला आणि त्या प्रदेशात ब्रिटिश सत्तेला प्रोत्साहन दिले?,1803 मध्ये जनरल वेलस्लीने अहमदनगरचा किल्ला ताब्यात घेतला आणि या प्रदेशात ब्रिटिश सत्तेला चालना दिली.,History
शिवाजी महाराजांचा राज्याभिषेक कोणत्या वर्षी झाला?,१६७४ मध्ये शिवाजी महाराजांचा राज्याभिषेक झाला.,History
मुघल सम्राट अकबराने खानदेश प्रदेश कोणत्या वर्षी ताब्यात घेतला?,खानदेश हा प्रदेश १६०१ मध्ये मुघल सम्राट अकबराने काबीज केला होता.,History
पानिपतच्या तिसऱ्या युद्धात मराठ्यांचा पराभव कोणी केला?,1761 मध्ये पानिपतच्या तिसऱ्या लढाईत अहमद शाह अब्दालीच्या नेतृत्वाखालील दुर्राणी साम्राज्याकडून मराठ्यांचा पराभव झाला.,History
 शिवभारत हे महाकाव्य कोणत्या मराठा राजाच्या दरबारी कवीने रचले?, शिवभारत हे वीर महाकाव्य छत्रपती शिवाजी महाराजांच्या दरबारी कवीने रचले होते.,History
 वडगाव करार किंवा करार कोणत्या युद्धात झाला?, पहिल्या इंग्रज-मराठा युद्धात वडगाव करार झाला.,History
 शेरशाहच्या काळात महसूल खाते कोणत्या भाषेत होते?, शेरशाहच्या कारकीर्दीत पर्शियन आणि हिंदवी भाषेत महसूल खाती ठेवली जात होती.,History
 गाविलगड किल्ला 1425 मध्ये कोणत्या राजाने बांधला?, गाविलगड किल्ला अहमद शाह बहमनी यांनी 1425 मध्ये बांधला होता.,History
" भारत सरकारने स्वीकारलेल्या राज्य चिन्हातील ""सत्यमेव जयते"" हे शब्द कोणत्या उपनिषदातून घेतले आहेत?"," ""सत्यमेव जयते"" हे शब्द मुंडक उपनिषदातून घेतले आहेत.",History
 मौर्य साम्राज्याचा अंत कसा झाला?, शेवटचा मौर्य शासक त्याच्या जनरलने मारला तेव्हा मौर्य साम्राज्याचा अंत झाला.,History
कैलाश मंदिर कोणत्या गुहेत आहे?, कैलाश मंदिर एलोरा लेणीमध्ये आहे.,History
 जवाहरलाल नेहरूंच्या अध्यक्षतेखाली लाहोर काँग्रेसने 'पूर्ण स्वराज' किंवा भारताच्या पूर्ण स्वातंत्र्याची मागणी केव्हा केली?, लाहोर काँग्रेसमध्ये डिसेंबर 1929 मध्ये 'पूर्ण स्वराज'च्या मागणीला औपचारिकता देण्यात आली.,History
 कोणत्या अँग्लो-मराठा युद्धामुळे पेशव्यांच्या प्रदेशाचे बॉम्बे प्रेसिडेन्सीमध्ये विलीनीकरण झाले?, तिसऱ्या इंग्रज-मराठा युद्धामुळे पेशव्यांच्या प्रदेशांचे बॉम्बे प्रेसिडेन्सीमध्ये विलीनीकरण झाले.,History
 गांधी-आयर्विन करार भारताच्या खालीलपैकी कोणत्या चळवळीशी संबंधित होता?, गांधी-आयर्विन करार सविनय कायदेभंग चळवळीशी संबंधित होता.,History
मराठा साम्राज्याच्या इतिहासातील खर्ड्याच्या लढाईचे महत्त्व सांगा.,खर्ड्याची लढाई 11 मार्च 1795 रोजी मराठा साम्राज्य आणि हैदराबादचा निजाम यांच्यात झाली. मराठ्यांनी निर्णायक विजय मिळवला. इंग्रज मराठा वर्चस्व गांभीर्याने घेतील म्हणून लढाईचा महत्त्वपूर्ण परिणाम होईल.,History
 जॉयस युलिसिसमध्ये चेतनेचा प्रवाह कसा वापरतो?," पारंपारिक कथनात्मक रचनेला मागे टाकून, पात्रांच्या मनात खोलवर जाण्यासाठी जॉयस चेतनेचा प्रवाह वापरते.",Literature
 द ग्रेट गॅट्सबी मधील हिरव्या दिव्याचे महत्त्व विश्लेषित करा.," एफ. स्कॉट फिट्झगेराल्डच्या द ग्रेट गॅट्सबी मधील डेझीच्या डॉकच्या शेवटी असलेला हिरवा दिवा हा जय गॅट्सबीच्या अमर्याद प्रेम, निराशा आणि अमेरिकन स्वप्नापर्यंत पोहोचण्याच्या अक्षमतेचे प्रतीक आहे. जॅझ युगादरम्यान न्यूयॉर्कमध्ये कथा सेट केली गेली आहे.",Literature
 वुदरिंग हाइट्समध्ये सेटिंग कोणती भूमिका बजावते?," वुथरिंग हाइट्सची सेटिंग आणि स्थान, ज्याचे वर्णन अनेकदा विश्वासघातकी म्हणून केले जाते, कादंबरीतील गडद टोन आणि त्रासदायक कथानक घटनांना बळकटी देते. घर स्वतःच विचित्र कोरीव काम असलेली एक वेगळी आणि जीर्ण दगडी वाडा आहे. थ्रशक्रॉस ग्रँज, जिथे कादंबरीचे काही भाग घडतात, ते हाईट्सप्रमाणेच वेगळ्या आहेत.",Literature
 हॅम्लेटमध्ये शेक्सपियरने लैंगिक भूमिका कशी मोडीत काढली?,"गर्ट्रूड: राणी म्हणून, ती सत्तेच्या पदावर आहे, परंतु तिचे घाईघाईने पुनर्विवाह आणि अस्पष्ट चित्रण दुःखी विधवेच्या आदर्शाला गुंतागुंतीचे करते. तिचे पात्र अनेकदा स्त्रियांना नियुक्त केलेल्या निष्क्रिय भूमिकेवर प्रश्न करते. ओफेलिया: अनेकदा एक नाजूक आणि आज्ञाधारक स्त्री म्हणून चित्रित केले जात असताना, तिचे वेडेपणा आणि दुःखद अंत हे स्त्रियांवरील पितृसत्ताक बंधनांचा विध्वंसक प्रभाव अधोरेखित करते. हॅम्लेट: राजकुमार स्वत: पारंपारिकपणे पुरुष आणि स्त्रीलिंगी गुणांचा एक जटिल संवाद प्रदर्शित करतो, ज्यामध्ये अनिर्णय, उदासपणा आणि तात्विक चिंतन समाविष्ट आहे, जे लैंगिक भूमिकांच्या कठोर सीमांना आव्हान देतात. या पात्रांद्वारे, शेक्सपियर एलिझाबेथन समाजातील लिंग आणि त्याच्या गुंतागुंतीचा सूक्ष्म अन्वेषण करतो.",Literature
 लॉर्ड ऑफ द फ्लाईजमध्ये डोळ्याच्या प्रतीकात्मकतेचे विश्लेषण करा.," लॉर्ड ऑफ द फ्लाईजचा संदेश मानवी स्वभावातील द्वंद्वाशी संबंधित आहे ज्यामुळे लोकांना सुसंस्कृत, संघटित आणि शांतताप्रिय, परंतु अराजकतावादी, हिंसक आणि क्रूर देखील होते. मुले सहकारी आणि नागरी म्हणून सुरुवात करतात, परंतु ते बेटावरील त्यांच्या काळात विकसित होतात आणि बहुतेक रानटी आणि अराजकवादी बनतात.",Literature
 लोलितामधील अविश्वसनीय कथाकार या संकल्पनेची चर्चा करा.," एक अविश्वसनीय निवेदक म्हणून हंबर्ट वाचकांवर प्रभाव पाडण्याच्या प्रयत्नात अनेक भिन्न पद्धती वापरतो. अनेक प्रसंगांमध्ये आपल्या वेडेपणाला ओव्हरप्ले करत, तो आपल्या जीवनावरील नियंत्रण गमावल्याची भावना व्यक्त करण्याचा आणि त्याद्वारे जबाबदारी टाळण्याचा प्रयत्न करतो.",Literature
 टॉमने कान मागे धुतले आहेत की नाही हे तपासण्यासाठी आंटी पॉली काय वापरते?, टॉमने कान मागे धुतले आहेत की नाही हे तपासण्यासाठी आंटी पॉली ओल्या टॉवेलचा वापर करतात.,Literature
 इंजुन जो डॉ. रॉबिन्सनला काय करतो?," तीन माणसांमधील भांडणानंतर, ज्यामध्ये मफ पॉटर बेशुद्ध झाला, इंजुन जो डॉ. रॉबिन्सनवर मफच्या चाकूने वार करतो. हक आणि टॉम पळून जातात आणि इंजुन जो नशेत असलेल्या मफला खात्री देतात की तो खुनी आहे.",Literature
 हॅम्लेटच्या वडिलांचा मृत्यू कसा झाला?," मी तुझ्या वडिलांचा आत्मा आहे,' भूत हॅम्लेटला सांगतो. हे त्याला सांगते की हॅम्लेटच्या वडिलांचा मृत्यू नैसर्गिकरित्या झाला नाही, परंतु त्याचा भाऊ क्लॉडियसने त्याची हत्या केली होती. राजा झोपला असताना क्लॉडियसने त्याच्या कानात विष टाकले, ज्यामुळे राजाला वेदनादायक मृत्यू झाला. भूत हॅम्लेटला क्लॉडियसच्या वडिलांच्या हत्येचा बदला घेण्यास सांगतो.",Literature
 आकृतिबंध आणि चिन्ह यांच्यात काय फरक आहे?, संपूर्ण कथेमध्ये आकृतिबंधांची पुनरावृत्ती झाली पाहिजे; चिन्हे फक्त एकदाच दिसू शकतात,Literature
" ""नाटकीय विडंबना"" या शब्दाची व्याख्या करा.", नाटकीय विडंबना हा एक प्रकारचा व्यंगचित्र आहे जो एखाद्या कामाच्या संरचनेद्वारे व्यक्त केला जातो: एखाद्या कामाची पात्रे अस्तित्वात असलेल्या परिस्थितीबद्दल प्रेक्षकांची जागरूकता पात्रांपेक्षा लक्षणीय भिन्न असते आणि त्यामुळे पात्रांचे शब्द आणि कृती भिन्न असतात- अनेकदा विरोधाभासी- म्हणजे कामाच्या पात्रांपेक्षा प्रेक्षकांसाठी.,Literature
 बिल्डुंगस्रोमन शैलीचे महत्त्व काय आहे?," साहित्यिक समीक्षेत, बिल्डुंगस्रोमन हा एक साहित्यिक प्रकार आहे जो बालपणापासून प्रौढत्वापर्यंत (वयात येण्यापर्यंत) नायकाच्या मानसिक आणि नैतिक वाढीवर लक्ष केंद्रित करतो,[1] ज्यामध्ये वर्ण बदल महत्त्वाचा असतो.",Literature
 साहित्यिक कार्याच्या वातावरणात सेटिंग कसे योगदान देते?,"कथेचा मूड तयार करण्यात सेटिंगचाही मोठा वाटा आहे. उदाहरणार्थ, गडद आणि उदास सेटिंग अस्वस्थता आणि तणावाची भावना निर्माण करू शकते, तर एक सनी आणि आनंदी सेटिंग शांतता आणि आनंदाची भावना निर्माण करू शकते.",Literature
" ""चेतनेचा प्रवाह"" कथनाची संकल्पना स्पष्ट करा.", चेतनेचा प्रवाह ही एक वर्णनात्मक शैली आहे जी एखाद्या पात्राची विचार प्रक्रिया वास्तववादी पद्धतीने पकडण्याचा प्रयत्न करते.,Literature
 साहित्यात अविश्वसनीय कथाकाराची भूमिका काय आहे?, एक अविश्वसनीय कथाकार एक कथाकार आहे ज्याच्या कथेवर पूर्णपणे विश्वास ठेवला जाऊ शकत नाही. काहीवेळा अविश्वसनीय निवेदक जाणीवपूर्वक वाचकांकडून माहिती रोखून ठेवतो किंवा दिशाभूल करण्याचा प्रयत्न करतो; इतर वेळी निवेदकाची अविश्वसनीयता त्यांच्या नियंत्रणाबाहेर असते.,Literature
 आंतरपाठ्यता साहित्यकृती कशी समृद्ध करते?," गंभीर किंवा अतिरिक्त अर्थ निर्माण करण्यासाठी, मुद्दा मांडण्यासाठी, विनोद निर्माण करण्यासाठी किंवा मूळ कामाचा पुनर्व्याख्या करण्यासाठी लेखक इंटरटेक्स्ट्युॲलिटी वापरू शकतात.",Literature
" ""फॉइल कॅरेक्टर"" या शब्दाची व्याख्या करा.", फॉइल कॅरेक्टर हा एक साहित्यिक घटक आहे जो मुख्य पात्र किंवा नायकाचा विरोधाभास म्हणून काम करतो.,Literature
 शोकांतिका आणि विनोदी यात काय फरक आहे?, कॉमेडी ही एक विनोदी कथा आहे ज्याचा शेवट आनंदी आहे तर शोकांतिका ही एक गंभीर कथा आहे ज्याचा शेवट दुःखद आहे.,Literature
" नाट्य साहित्यातील ""कॅथर्सिस"" ची संकल्पना स्पष्ट करा.", कॅथर्सिस ही कलेच्या माध्यमातून तीव्र किंवा मनाला भिडलेल्या भावनांना मुक्त करण्याची प्रक्रिया आहे,Literature
 कथनात पूर्वदर्शनाचा उद्देश काय आहे?," पूर्वचित्रण हा एक कथानकाचा घटक आहे जो कथेत पुढे येण्यासाठी काहीतरी सूचित करतो. लिखित स्वरुपात पूर्वचित्रण वापरण्याची अनेक कारणे आहेत, ज्यात सस्पेन्स निर्माण करणे, उत्सुकता वाढवणे आणि त्या ""अहाहा"" क्षणासाठी तुमच्या वाचकाला तयार करणे.",Literature
 कवितेमध्ये विशिष्ट प्रभाव निर्माण करण्यासाठी अनुग्रह कसा वापरला जातो?," अनुग्रह म्हणजे एकापाठोपाठ शब्दांच्या शृंखलेच्या सुरूवातीला एकाच ध्वनीची पुनरावृत्ती ज्याचा उद्देश श्रवणीय नाडी प्रदान करणे हा आहे जो लेखनाच्या एका भागाला ललित, गीतात्मक आणि/किंवा भावनिक प्रभाव देतो.",Literature
 सॉनेटची रचना स्पष्ट करा, इंग्रजी सॉनेट सहसा तीन क्वाट्रेन (4-ओळी श्लोक) आणि त्यानंतर एक यमक जोडलेले असतात.,Literature
"""व्यक्तिकरण"" या शब्दाची व्याख्या करा."," व्यक्तिमत्वाची व्याख्या ""साहित्यिक किंवा कलात्मक प्रभावाप्रमाणे वस्तू, अमूर्त कल्पना इत्यादींना मानवी वैशिष्ट्यांचे श्रेय"" आणि ""व्यक्ती, प्राणी इत्यादींच्या रूपात अमूर्त गुण किंवा कल्पनेचे प्रतिनिधित्व म्हणून केले जाते. कला आणि साहित्यात""",Literature
" ""भारतीय इंग्रजी साहित्याचे जनक"" कोणाला मानले जाते?", मुल्क राज आनंद,Literature
 वाल्मिकींनी लिहिलेल्या महाकाव्याचे नाव सांगा., रामायण,Literature
 भारतीय साहित्यात भक्ती चळवळीचे महत्त्व काय आहे?,"सर्व भिन्न हिंदू देवतांचे ऐक्य, देवाला आत्मसमर्पण, सर्व लोकांची समानता आणि बंधुता आणि देवाची भक्ती ही जीवनातील प्रथम क्रमांकाची प्राथमिकता आहे.",Literature
 कोणत्या भारतीय लेखकाला साहित्यातील नोबेल पारितोषिक मिळाले?, नोबेल पारितोषिक मिळवणारे रवींद्रनाथ टागोर हे भारत आणि आशियातील पहिले व्यक्ती ठरले.,Literature
"रवींद्रनाथ टागोरांच्या ""गीतांजली"" ची मध्यवर्ती थीम काय आहे?", गूढवाद,Literature
 मराठी साहित्यात ‘बखर’ प्रकाराचे महत्त्व काय?, मराठा शासक छत्रपती शिवाजी महाराजांच्या कर्तृत्वाचा इतिहास.,Literature
देशभक्तीपर आणि सामाजिक विषयांसाठी प्रसिद्ध असलेल्या मराठी कवीचे नाव सांगा., फकीरचंद भारती,Literature
 कोणती मराठी कादंबरी ब्रिटिश राजवटीतील सामाजिक आणि राजकीय समस्यांचा शोध घेते?, राम धरी,Literature
" ""मानिनी"" या मराठी कादंबरीचे लेखक कोण आहेत?", एन.एस.फडके,Literature
" रवींद्रनाथ टागोर यांच्या ""गोरा"" या बंगाली कादंबरीचा मुख्य विषय काय आहे?"," राष्ट्रवाद, ओळख आणि सामाजिक सुधारणा.",Literature
"""सिलप्पाधिकारम"" या तमिळ कादंबरीचे लेखक कोण आहेत?", इलांगो अडिगल,Literature
 निसर्ग आणि अध्यात्मावरील कामांसाठी प्रसिद्ध मल्याळम कवीचे नाव सांगा., सुगाथाकुमारी,Literature
" हिंदी साहित्यात ""प्रेमचंद युग"" चे महत्त्व काय आहे?"," प्रेमचंदच्या कार्यांमध्ये दलित, महिला आणि शेतकरी यासारख्या उपेक्षित गटांना सामोरे जावे लागलेले संघर्ष आणि अडचणींचे चित्रण केले आहे, राष्ट्रीय समस्यांचे निराकरण करण्यासाठी सामाजिक समरसतेची आवश्यकता अधोरेखित करते.",Literature
" ""वंशवृक्ष"" या कन्नड कादंबरीचे लेखक कोण आहेत?", एसएल भैरप्पा,Literature
 भारतीय न्यू वेव्ह चळवळीचे साहित्यात काय महत्त्व आहे?," न्यू वेव्हच्या आधी, लोकप्रिय हिंदी सिनेमाने हिंदी साहित्याकडे पूर्णपणे दुर्लक्ष केले होते, त्याऐवजी संकरित, काव्यात्मक भाषेसाठी उर्दूकडे वळले होते ज्यामध्ये ते प्रेम, विश्वास आणि न्याय बोलत होते. इंडियन न्यू वेव्हने साहित्यिक हिंदीतील संस्कृत नवविज्ञान पहिल्यांदाच सिनेमागृहात आणले.",Literature
"अरुंधती रॉय यांच्या ""द गॉड ऑफ स्मॉल थिंग्ज"" या कादंबरीची थीम काय आहे?"," अरुंधती रॉय यांचे द गॉड ऑफ स्मॉल थिंग्ज हे भारतातील दोन भ्रातृत्वाच्या जुळ्या मुलांबद्दल आहे ज्यांचे जीवन त्यांच्या भूतकाळातील शोकांतिकेने ठरलेले आहे. महत्त्वाच्या थीममध्ये कौटुंबिक, निष्ठा, निषिद्ध प्रेम, वसाहतवाद/उत्तर-वसाहतवाद, शैक्षणिक भेदभाव आणि सामाजिक वर्ग असमानता यांचा समावेश होतो.",Literature
 भारतातील दलित साहित्य चळवळीचे महत्त्व काय आहे?, दलित साहित्य हे भारतीय समाजाच्या जाती-आधारित चौकटीतील दलित समाजाचे मार्मिक सामाजिक आणि राजकीय अनुभव व्यक्त करण्यासाठी एक शक्तिशाली माध्यम म्हणून काम करते. दलितांच्या जीवनाला आकार देणाऱ्या असंख्य सामाजिक घटकांवर आणि दलित आणि दलितेतर अशा दोन्ही समुदायांसोबतच्या त्यांच्या संवादावर ते प्रकाश टाकते.,Literature
 GDP ची व्याख्या करा. कल्याणकारी उपाय म्हणून त्याचे घटक आणि मर्यादा स्पष्ट करा.,"सकल देशांतर्गत उत्पादन. हे विशिष्ट पर्याय, विशेषत: देशाच्या सीमारेषेतील उत्पादने आणि सेवांच्या एकूण मूल्य मोजमाप आहेत. कल्याण म्हणजे समाजातील व्यक्तींचे संपूर्ण कल्याण आणि जीवनाचा दर्जा.",Economics
 महागाई उत्पादन होते? त्याचे परिणाम आणि धोरणात्मक उत्तरात्मक चर्चा करा.,"अधिक नोकऱ्यांच्या आणि उच्च वेतनाच्या लाभार्थी लोक उत्पन्न आणि ग्राहक खर्चात वाढ होते, एकूण भ्रष्टाचारी आणि त्यांच्या आर्थिक आणि वाढीची पॉवर्सची सेवा. जेव्हा हे मोठ्या प्रमाणावर घडते तेव्हा व्यवसाय आणि क्षेत्रामध्ये खरेदी-विक्री.",Economics
" बेरीजची व्याख्या करा. त्याचे प्रकार, कारणे आणि धोरणात्मक उपायांचे विश्लेषण करा.","जेव्हा काम करू इच्छिणारे कर्मचारी शोधून काढू शकत नाहीत तेव्हा बेमुदत काम करतात. बेभरवशी उच्च आर्थिक संकटाचे संकेत देतात, तर बेपत्ता असल्याचे संकेत देतात. बेमर वर्गीकरण घर्षण, चक्रीय, वा संस्थात्मक संरचना म्हणून जाऊ शकते.",Economics
 देयक स्पष्ट करा. त्याचे घटक आणि परिणाम परिणाम घटकांची चर्चा करा.," पेमेंट बॅलन्स (BOP) ही एक पद्धत आहे ज्याद्वारे देश ठराविक कालावधीत सर्व आंतरराष्ट्रीय चलन व्यवहार मोजतात. बीओपीमध्ये तीन मुख्य खाती असतात: चालू खाते, भांडवली खाते आणि आर्थिक खाते.",Economics
 वित्तीय धोरण म्हणजे काय? त्याची साधने आणि स्थिरीकरणाची प्रभावीता स्पष्ट करा,"राजकोषीय सार्वजनिक सार्वजनिक खर्च, कर आकारणी आणि सार्वजनिक कर्जाच्या सार्वजनिक सरकारी धोरणाचा संदर्भ देते. हे असे साधन आहे ज्याच्या सरकारच्या देशाचा अर्थ समुद्रावर लक्ष ठेवण्यासाठी आणि त्यावर प्रभाव टाकण्यासाठी त्याच्या खर्चाची सोय आणि दर कर.",Economics
